"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Street Sweeping Request","Environmental Services"," ","GRAND MARAIS RD E & CHRYSLER CENTRE","WARD 5","Citizen Mobile Apps","MAY 29, 2023 02:21:57 PM"
"Street Sweeping Request","Environmental Services","15##","MOY","WARD 4","Citizen Mobile Apps","MAY 30, 2023 08:29:18 AM"
"Street Sweeping Request","Environmental Services","35##","AVONDALE","WARD 1","Phone","MAY 30, 2023 08:52:38 AM"
"Street Sweeping Request","Environmental Services"," ","KILDARE RD & YPRES AVE","WARD 4","Phone","MAY 30, 2023 12:27:57 PM"
"Street Sweeping Request","Environmental Services","33##","CANDLEWOOD","WARD 9","Phone","JUN 14, 2023 12:55:24 PM"
"Street Sweeping Request","Environmental Services","16##","CHURCH","WARD 3","Phone","JUN 14, 2023 02:09:21 PM"
"Street Sweeping Request","Environmental Services","14##","RIVERSIDE","WARD 4","Phone","JUN 20, 2023 01:46:43 PM"
"Street Sweeping Request","Environmental Services","12##","HARRISON","WARD 2","Phone","MAY 03, 2023 12:43:33 PM"
"Street Sweeping Request","Environmental Services"," ","OUELLETTE AVE & ELLIOTT ST W","WARD 3","Phone","MAY 17, 2023 01:59:58 PM"
"Street Sweeping Request","Environmental Services","6##","ATKINSON","WARD 10","Phone","MAY 11, 2023 11:30:58 AM"
"Street Sweeping Request","Environmental Services","9##","VILLAIRE","WARD 6","Phone","MAY 11, 2023 12:49:13 PM"
"Street Sweeping Request","Environmental Services","5##","BREEZEWOOD","WARD 7","E-Mail","MAY 11, 2023 02:37:34 PM"
"Street Sweeping Request","Environmental Services","7##","MORAND","WARD 9","Citizen Mobile Apps","JUN 04, 2023 04:14:44 PM"
"Street Sweeping Request","Environmental Services","9##","LINCOLN","WARD 4","Phone","JUN 06, 2023 10:51:27 AM"
"Street Sweeping Request","Environmental Services","17##","ASKIN","WARD 10","Citizen Mobile Apps","JUN 06, 2023 02:00:26 PM"
"Street Sweeping Request","Environmental Services","15##","CHURCH","WARD 3","Phone","MAY 18, 2023 03:42:44 PM"
"Street Sweeping Request","Environmental Services"," ","LAURENDEAU AVE & ONTARIO ST","WARD 5","Phone","MAY 19, 2023 12:23:31 PM"
"Street Sweeping Request","Environmental Services","97##","BEACHDALE","WARD 7","Phone","MAY 19, 2023 03:10:30 PM"
"Street Sweeping Request","Environmental Services","9##","BRIDGE","WARD 2","Phone","JUN 12, 2023 11:42:36 AM"
"Street Sweeping Request","Environmental Services","13##","HALL","WARD 4","Phone","JUN 12, 2023 11:51:46 AM"
"Street Sweeping Request","Environmental Services"," ","ST ROSE AVE & WYANDOTTE ST E","WARD 6","Phone","APR 27, 2023 02:42:01 PM"
"Street Sweeping Request","Environmental Services","3##","CARON","WARD 3","Phone","APR 27, 2023 03:12:46 PM"
"Street Sweeping Request","Environmental Services","12##","WIGLE","WARD 2","Phone","APR 28, 2023 11:39:00 AM"
"Street Sweeping Request","Environmental Services","2##","ST LOUIS","WARD 6","Phone","JUN 01, 2023 01:17:15 PM"
"Street Sweeping Request","Environmental Services"," ","RIVERSIDE DR E & OUELLETTE AVE","WARD 3","E-Mail","MAY 01, 2023 08:38:27 AM"
"Street Sweeping Request","Environmental Services","12##","AUBIN","WARD 5","Phone","MAY 02, 2023 10:23:29 AM"
"Street Sweeping Request","Environmental Services","15##","RIVERSIDE","WARD 2","Phone","JUN 01, 2023 11:33:08 AM"
"Street Sweeping Request","Environmental Services","3##","ELM","WARD 3","Phone","MAR 01, 2023 12:24:39 PM"
"Street Sweeping Request","Environmental Services","10##","MARENTETTE","WARD 4","Phone","MAR 16, 2023 03:11:40 PM"
"Street Sweeping Request","Environmental Services","11##","GLADSTONE","WARD 4","Phone","APR 21, 2023 01:48:01 PM"
"Street Sweeping Request","Environmental Services","99##","KENWOOD","WARD 7","Citizen Mobile Apps","APR 20, 2023 03:51:00 PM"
"Street Sweeping Request","Environmental Services","10##","COVENTRY","WARD 6","Citizen Mobile Apps","MAR 22, 2023 02:50:37 PM"
"Street Sweeping Request","Environmental Services"," ","CENTRAL AVE & TECUMSEH RD E","WARD 5","Phone","APR 03, 2023 10:49:54 AM"
"Street Sweeping Request","Environmental Services","15##","DOUGALL","WARD 3","Phone","APR 03, 2023 03:14:28 PM"
"Street Sweeping Request","Environmental Services","7##","VICTORIA","WARD 3","Phone","APR 03, 2023 03:18:16 PM"
"Street Sweeping Request","Environmental Services","13##","HALL","WARD 4","Phone","APR 03, 2023 03:34:59 PM"
"Street Sweeping Request","Environmental Services","1##","MCKAY","WARD 2","Phone","APR 03, 2023 03:49:00 PM"
"Street Sweeping Request","Environmental Services","33##","SANDWICH","WARD 2","Phone","APR 04, 2023 02:41:52 PM"
"Street Sweeping Request","Environmental Services"," ","LINCOLN RD & TECUMSEH RD E","WARD 4","Phone","DEC 14, 2023 01:58:15 PM"
"Street Sweeping Request","Environmental Services","8##","LINCOLN","WARD 4","Phone","DEC 14, 2023 02:01:06 PM"
"Street Sweeping Request","Environmental Services","2##","JOSEPHINE","WARD 2","Phone","APR 17, 2023 12:10:29 PM"
"Street Sweeping Request","Environmental Services","34##","HARRIS","WARD 2","Phone","APR 12, 2023 11:28:32 AM"
"Street Sweeping Request","Environmental Services","17##","KILDARE","WARD 4","Phone","APR 12, 2023 01:52:18 PM"
"Street Sweeping Request","Environmental Services"," ","BRUCE AVE & TECUMSEH RD W","WARD 3","E-Mail","APR 19, 2023 08:12:04 AM"
"Street Sweeping Request","Environmental Services","20##","BALFOUR","WARD 8","Phone","MAR 27, 2023 03:10:04 PM"
"Street Sweeping Request","Environmental Services","9##","LINCOLN","WARD 4","E-Mail","APR 18, 2023 09:52:22 AM"
"Street Sweeping Request","Environmental Services"," ","NORTHWOOD ST & LONGFELLOW AVE","WARD 10","Phone","JUN 16, 2023 02:40:03 PM"
"Street Sweeping Request","Environmental Services","31##","REGIS","WARD 7","Phone","APR 12, 2023 01:38:37 PM"
"Street Sweeping Request","Environmental Services","18##","JEFFERSON","WARD 8","Citizen Mobile Apps","APR 14, 2023 08:41:14 AM"
"Street Sweeping Request","Environmental Services"," ","RIVERSIDE DR W & RANKIN AVE","WARD 2","Phone","APR 17, 2023 10:37:05 AM"
"Street Sweeping Request","Environmental Services","16##","PARENT","WARD 4","Citizen Mobile Apps","APR 05, 2023 10:59:29 AM"
"Street Sweeping Request","Environmental Services","14##","DROUILLARD","WARD 5","Phone","APR 13, 2023 11:10:34 AM"
"Street Sweeping Request","Environmental Services"," ","WINDSOR AVE & EDINBOROUGH ST","WARD 10","Phone","APR 13, 2023 11:24:48 AM"
"Street Sweeping Request","Environmental Services","19##","VIMY","WARD 4","E-Mail","APR 13, 2023 03:58:54 PM"
